     12.00000000    -12.0000000020000      8.91944597      1.00000000
      9.068  0.0000E+00  0.5084E+01  0.1280E+03  0.1249E+03
      9.069  0.0000E+00  0.4748E+01  0.1280E+03  0.1249E+03
      9.071  0.0000E+00  0.4423E+01  0.1280E+03  0.1250E+03
      9.072  0.0000E+00  0.4108E+01  0.1280E+03  0.1250E+03
      9.073  0.0000E+00  0.3803E+01  0.1280E+03  0.1250E+03
      9.074  0.0000E+00  0.3509E+01  0.1280E+03  0.1250E+03
      9.075  0.0000E+00  0.3224E+01  0.1280E+03  0.1250E+03
      9.077  0.0000E+00  0.2950E+01  0.1280E+03  0.1250E+03
      9.078  0.0000E+00  0.2687E+01  0.1280E+03  0.1250E+03
      9.079  0.0000E+00  0.2433E+01  0.1280E+03  0.1250E+03
      9.080  0.0000E+00  0.2190E+01  0.1280E+03  0.1250E+03
      9.081  0.0000E+00  0.1957E+01  0.1280E+03  0.1250E+03
      9.083  0.0000E+00  0.1734E+01  0.1280E+03  0.1250E+03
      9.084  0.0000E+00  0.1520E+01  0.1280E+03  0.1250E+03
      9.085  0.0000E+00  0.1315E+01  0.1280E+03  0.1250E+03
      9.086  0.0000E+00  0.1119E+01  0.1280E+03  0.1250E+03
      9.087  0.0000E+00  0.9331E+00  0.1280E+03  0.1250E+03
      9.089  0.0000E+00  0.7561E+00  0.1280E+03  0.1250E+03
      9.090  0.0000E+00  0.5884E+00  0.1280E+03  0.1250E+03
      9.091  0.0000E+00  0.4299E+00  0.1280E+03  0.1250E+03
      9.092  0.0000E+00  0.2808E+00  0.1280E+03  0.1250E+03
      9.093  0.0000E+00  0.1648E+00  0.1280E+03  0.1250E+03
      9.095  0.0000E+00  0.1101E+00  0.1280E+03  0.1250E+03
      9.096  0.0000E+00  0.6680E-01  0.1280E+03  0.1250E+03
      9.097  0.0000E+00  0.3424E-01  0.1280E+03  0.1250E+03
      9.098  0.0000E+00  0.1246E-01  0.1280E+03  0.1250E+03
      9.099  0.0000E+00  0.1461E-02  0.1280E+03  0.1250E+03
      9.101  0.0000E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.102  0.0000E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.103  0.0000E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.104  0.0000E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.105  0.0000E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.107  0.4540E-02  0.0000E+00  0.1280E+03  0.1250E+03
      9.108  0.3156E-01  0.0000E+00  0.1280E+03  0.1250E+03
      9.109  0.8290E-01  0.0000E+00  0.1280E+03  0.1250E+03
      9.110  0.1586E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.111  0.2586E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.113  0.3829E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.114  0.5315E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.115  0.7045E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.116  0.9106E+00  0.0000E+00  0.1280E+03  0.1250E+03
      9.117  0.1162E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.119  0.1459E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.120  0.1801E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.121  0.2143E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.122  0.2339E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.123  0.2538E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.125  0.2741E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.126  0.2947E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.127  0.3157E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.128  0.3372E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.129  0.3589E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.131  0.3811E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.132  0.4036E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.133  0.4266E+01  0.0000E+00  0.1280E+03  0.1250E+03
      9.134  0.4499E+01  0.0000E+00  0.1281E+03  0.1250E+03
      9.135  0.4735E+01  0.0000E+00  0.1281E+03  0.1250E+03
      9.137  0.4976E+01  0.1687E-02  0.1281E+03  0.1250E+03
      9.138  0.5215E+01  0.2250E-01  0.1281E+03  0.1250E+03
      9.139  0.5432E+01  0.6705E-01  0.1281E+03  0.1250E+03
      9.140  0.5625E+01  0.1471E+00  0.1281E+03  0.1250E+03
      9.141  0.5787E+01  0.2868E+00  0.1281E+03  0.1250E+03
      9.143  0.5893E+01  0.4870E+00  0.1281E+03  0.1250E+03
      9.144  0.5992E+01  0.7476E+00  0.1281E+03  0.1250E+03
      9.145  0.6087E+01  0.1069E+01  0.1281E+03  0.1250E+03
      9.146  0.6176E+01  0.1450E+01  0.1281E+03  0.1250E+03
      9.147  0.6260E+01  0.1892E+01  0.1281E+03  0.1250E+03
      9.149  0.6340E+01  0.2394E+01  0.1281E+03  0.1250E+03
      9.150  0.6414E+01  0.2957E+01  0.1281E+03  0.1250E+03
      9.151  0.6483E+01  0.3580E+01  0.1282E+03  0.1250E+03
      9.152  0.6548E+01  0.4242E+01  0.1282E+03  0.1250E+03
      9.153  0.6607E+01  0.4854E+01  0.1282E+03  0.1250E+03
      9.155  0.6661E+01  0.5403E+01  0.1282E+03  0.1250E+03
      9.156  0.6710E+01  0.5891E+01  0.1282E+03  0.1250E+03
      9.157  0.6754E+01  0.6326E+01  0.1282E+03  0.1250E+03
      9.158  0.6793E+01  0.6704E+01  0.1282E+03  0.1251E+03
