    # Energy          Si          Ti          Cr          Fe          Ni
   -18.48372     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.47372     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.46472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.45472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.44572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.43572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.42572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.41672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.40672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.39672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.38772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.37772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.36872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.35872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.34872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.33972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.32972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.32072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.31072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.30072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.29172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.28172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.27272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.26272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.25272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.24372     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.23372     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.22472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.21472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.20472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.19572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.18572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.17672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.16672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.15672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.14772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.13772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.12872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.11872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.10872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.09972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.08972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.08072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.07072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.06072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.05172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.04172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.03272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.02272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.01272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.00372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.99372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.98472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.97472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.96472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.95572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.94572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.93672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.92672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.91672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.90772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.89772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.88772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.87872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.86872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.85972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.84972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.83972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.83072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.82072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.81172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.80172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.79172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.78272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.77272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.76372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.75372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.74372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.73472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.72472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.71572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.70572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.69572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.68672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.67672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.66772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.65772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.64772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.63872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.62872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.61972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.60972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.59972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.59072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.58072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.57172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.56172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.55172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.54272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.53272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.52372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.51372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.50372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.49472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.48472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.47572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.46572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.45572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.44672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.43672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.42772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.41772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.40772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.39872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.38872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.37872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.36972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.35972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.35072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.34072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.33072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.32172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.31172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.30272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.29272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.28272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.27372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.26372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.25472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.24472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.23472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.22572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.21572     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.20672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.19672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.18672     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.17772     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.16772     0.00000     0.00000     0.00000     0.00000     0.00000
