    # Energy          Fe          Si
   -16.74929     0.00000     0.00000
   -16.73929     0.00000     0.00000
   -16.73029     0.00000     0.00000
   -16.72029     0.00000     0.00000
   -16.71029     0.00000     0.00000
   -16.70129     0.00000     0.00000
   -16.69129     0.00000     0.00000
   -16.68229     0.00000     0.00000
   -16.67229     0.00000     0.00000
   -16.66229     0.00000     0.00000
   -16.65329     0.00000     0.00000
   -16.64329     0.00000     0.00000
   -16.63429     0.00000     0.00000
   -16.62429     0.00000     0.00000
   -16.61429     0.00000     0.00000
   -16.60529     0.00000     0.00000
   -16.59529     0.00000     0.00000
   -16.58629     0.00000     0.00000
   -16.57629     0.00000     0.00000
   -16.56629     0.00000     0.00000
   -16.55729     0.00000     0.00000
   -16.54729     0.00000     0.00000
   -16.53829     0.00000     0.00000
   -16.52829     0.00000     0.00000
   -16.51829     0.00000     0.00000
   -16.50929     0.00000     0.00000
   -16.49929     0.00000     0.00000
   -16.49029     0.00000     0.00000
   -16.48029     0.00000     0.00000
   -16.47029     0.00000     0.00000
   -16.46129     0.00000     0.00000
   -16.45129     0.00000     0.00000
   -16.44129     0.00000     0.00000
   -16.43229     0.00000     0.00000
   -16.42229     0.00000     0.00000
   -16.41329     0.00000     0.00000
   -16.40329     0.00000     0.00000
   -16.39329     0.00000     0.00000
   -16.38429     0.00000     0.00000
   -16.37429     0.00000     0.00000
   -16.36529     0.00000     0.00000
   -16.35529     0.00000     0.00000
   -16.34529     0.00000     0.00000
   -16.33629     0.00000     0.00000
   -16.32629     0.00000     0.00000
   -16.31729     0.00000     0.00000
   -16.30729     0.00000     0.00000
   -16.29729     0.00000     0.00000
   -16.28829     0.00000     0.00000
   -16.27829     0.00000     0.00000
   -16.26929     0.00000     0.00000
   -16.25929     0.00000     0.00000
   -16.24929     0.00000     0.00000
   -16.24029     0.00000     0.00000
   -16.23029     0.00000     0.00000
   -16.22129     0.00000     0.00000
   -16.21129     0.00000     0.00000
   -16.20129     0.00000     0.00000
   -16.19229     0.00000     0.00000
   -16.18229     0.00000     0.00000
   -16.17329     0.00000     0.00000
   -16.16329     0.00000     0.00000
   -16.15329     0.00000     0.00000
   -16.14429     0.00000     0.00000
   -16.13429     0.00000     0.00000
   -16.12529     0.00000     0.00000
   -16.11529     0.00000     0.00000
   -16.10529     0.00000     0.00000
   -16.09629     0.00000     0.00000
   -16.08629     0.00000     0.00000
   -16.07729     0.00000     0.00000
   -16.06729     0.00000     0.00000
   -16.05729     0.00000     0.00000
   -16.04829     0.00000     0.00000
   -16.03829     0.00000     0.00000
   -16.02929     0.00000     0.00000
   -16.01929     0.00000     0.00000
   -16.00929     0.00000     0.00000
   -16.00029     0.00000     0.00000
   -15.99029     0.00000     0.00000
   -15.98129     0.00000     0.00000
   -15.97129     0.00000     0.00000
   -15.96129     0.00000     0.00000
   -15.95229     0.00000     0.00000
   -15.94229     0.00000     0.00000
   -15.93229     0.00000     0.00000
   -15.92329     0.00000     0.00000
   -15.91329     0.00000     0.00000
   -15.90429     0.00000     0.00000
   -15.89429     0.00000     0.00000
   -15.88429     0.00000     0.00000
   -15.87529     0.00000     0.00000
   -15.86529     0.00000     0.00000
   -15.85629     0.00000     0.00000
   -15.84629     0.00000     0.00000
   -15.83629     0.00000     0.00000
   -15.82729     0.00000     0.00000
   -15.81729     0.00000     0.00000
   -15.80829     0.00000     0.00000
   -15.79829     0.00000     0.00000
   -15.78829     0.00000     0.00000
   -15.77929     0.00000     0.00000
   -15.76929     0.00000     0.00000
   -15.76029     0.00000     0.00000
   -15.75029     0.00000     0.00000
   -15.74029     0.00000     0.00000
   -15.73129     0.00000     0.00000
   -15.72129     0.00000     0.00000
   -15.71229     0.00000     0.00000
   -15.70229     0.00000     0.00000
   -15.69229     0.00000     0.00000
   -15.68329     0.00000     0.00000
   -15.67329     0.00000     0.00000
   -15.66429     0.00000     0.00000
   -15.65429     0.00000     0.00000
   -15.64429     0.00000     0.00000
   -15.63529     0.00000     0.00000
   -15.62529     0.00000     0.00000
