    # Energy          Si          Ti          Cr          Mn          Fe
   -17.77404     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.76504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.75504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.74504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.73604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.72604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.71704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.70704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.69704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.68804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.67804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.66904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.65904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.64904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.64004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.63004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.62104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.61104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.60104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.59204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.58204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.57304     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.56304     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.55304     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.54404     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.53404     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.52504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.51504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.50504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.49604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.48604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.47704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.46704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.45704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.44804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.43804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.42904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.41904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.40904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.40004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.39004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.38104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.37104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.36104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.35204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.34204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.33204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.32304     0.00000     0.00000     0.00000     0.00000     0.00000
